가 家=傢(가구 가; ⼈-총12획; jiā)
가 价=價(값 가; ⼈-총15획; jià,jiè,jiė)
가 诃=訶(꾸짖을 가; ⾔-총12획; hē)
가 贾=賈(값 가앉은장사 고; ⾙-총13획; gǔ,jiǎ,jià)
가 轲=軻(굴대 가; ⾞-총12획; kē,kě)
가 镓=鎵(갈륨 가; ⾦-총18획; jiā)
가 驾=駕(멍에 가; ⾺-총15획; jià)
각 却=卻(물리칠 각; ⼙-총9획; què)
각 珏=玨(쌍옥 각; ⽟-총8획; jué)
각 脚=腳(다리 각; ⾁-총13획; jiǎo)
각 壳=殼(껍질 각; ⽎-총12획; qiào,ké)
각 悫=愨(삼갈 각; ⼼-총14획; què)
각 搁=擱(놓을 각; ⼿-총17획; gē,gé)
각 觉=覺(깨달을 각; ⾒-총20획; jué,jiào)
각 阁=閣(문설주 각; ⾨-총14획; gé,gǎo)
간 奸=姦(간사할 간; ⼥-총9획; jiān)
간 杆=桿(볏짚 간; ⽊-총11획; gǎn,gān)
간 干=榦(산뽕나무 간우물 난간 한; ⽊-총14획; gàn)
간 干=幹(줄기 간; ⼲-총13획; gàn)
간 秆=稈(짚 간; ⽲-총12획; gǎn)
간 赶=趕(달릴 간; ⾛-총14획; gǎn,qián,qué)
간 垦=墾(따비할 간; ⼟-총16획; kěn)
간 恳=懇(정성 간; ⼼-총17획; kěn)
간 悭=慳(아낄 간; ⼼-총14획; qiān)
간 拣=揀(가릴 간; ⼿-총12획; jiǎn)
간 涧=澗(계곡의 시내 간; ⽔-총15획; jiàn)
간 痫=癇(간기 간; ⽧-총17획; jiān)
간 简=簡(대쪽 간; ⽵-총18획; jiǎn)
간 羟=羥(양 이름 간; ⽺-총13획; kēng,qiān)
간 艰=艱(어려울 간; ⾉-총17획; jiān)
간 谏=諫(간할 간; ⾔-총16획; jiàn)
간 间=間(틈 간; ⾨-총12획; jiān,xián)
간 龈=齦(깨물 간잇몸 은; ⿒-총21획; yín,kěn)
감 减=減(덜 감; ⽔-총12획; jiǎn)
감 尴=尷(산이 길고 높은 모양 추; ⼪-총17획; gān)
감 监=鑑(거울 감; ⾦-총22획; jiàn)
감 监=監(볼 감; ⽫-총14획; jiān,jiàn)
감 硷=鹼(소금기 감; ⿄-총24획; jiān)
감 碱=堿(짤 감; ⼟-총12획; jiǎn)
감 绀=紺(감색 감; ⽷-총11획; gàn)
감 鉴=鑒(거울 감; ⾦-총22획; jiàn)
감 阚=闞(바라볼 감; ⾨-총20획; kàn,kǎn)
감 龛=龕(감실 감; ⿓-총22획; kān)
갑 钾=鉀(갑옷 갑; ⾦-총13획; jiǎ)
갑 闸=閘(물문 갑; ⾨-총13획; zhá)
강 强=彊(굳셀 강; ⼸-총16획; jiàng,qiáng,qiǎng)
강 姜=薑(생강 강; ⾋-총17획; jiāng)
강 襁=繈(포대기 강; ⽷-총17획; qiáng)
강 强=強(굳셀 강; ⼸-총11획; qiáng,jiàng,qiǎng)
강 冈=岡(산등성이 강; ⼭-총8획; gāng)
강 刚=剛(굳셀 강; ⼑-총10획; gāng)
강 岗=崗(언덕 강; ⼭-총11획; gǎng,gāng)
강 纲=綱(벼리 강; ⽷-총14획; gāng)
강 绛=絳(진홍 강; ⽷-총12획; jiàng)
강 绦=絳(진홍 강; ⽷-총12획; jiàng)
강 缰=韁(고삐 강; ⾰-총22획; jiāng)
강 讲=講(익힐 강; ⾔-총17획; jiǎng)
강 钢=鋼(강철 강; ⾦-총16획; gāng,gàng)
강 镪=鏹(돈 강; ⾦-총19획; qiāng,jiǎng)
개 盖=蓋(덮을 개; ⾋-총14획; gài,gě)
개 个=個(낱 개; ⼈-총10획; gè,gě)
개 个=箇(낱 개; ⽵-총14획; gè)
개 凯=凱(즐길 개; ⼏-총12획; kǎi)
개 剀=剴(알맞을 개; ⼑-총12획; kǎi,gài)
개 垲=塏(높고 건조할 개; ⼟-총13획; kǎi)
개 开=開(열 개; ⾨-총12획; kāi)
개 忾=愾(성낼 개; ⼼-총13획; kài,xì,qì)
개 恺=愷(즐거울 개; ⼼-총13획; kǎi)
개 钙=鈣(칼슘 개; ⾦-총12획; gài)
개 铠=鎧(갑옷 개; ⾦-총18획; kǎi)
개 锴=鍇(쇠 개; ⾦-총17획; jiē,jiě)
갱 赓=賡(이을 갱; ⾙-총15획; gēng)
갱 铿=鏗(금옥 소리 갱; ⾦-총19획; gēng)
거 据=據(의거할 거; ⼿-총16획; jù,jū)
거 举=舉(들 거; ⾅-총17획; jǔ)
거 榉=櫸(느티나무 거; ⽊-총21획; jǔ)
거 讵=詎(어찌 거; ⾔-총12획; jù)
거 钜=鉅(클 거; ⾦-총13획; jù)
거 锯=鋸(톱 거; ⾦-총16획; jù,jū)
건 干=乾(하늘 건; ⼄-총11획; gān,qián)
건 键=鍵(열쇠 건; ⾦-총17획; jiàn)
건 骞=騫(이지러질 건; ⾺-총20획; qiān)
건 骞=鶱(훨훨 날 건; ⿃-총21획; xuān)
걸 杰=傑(뛰어날 걸; ⼈-총12획; jié)
검 俭=儉(검소할 검; ⼈-총15획; jiǎn)
검 剑=劍(칼 검; ⼑-총15획; jiàn)
검 捡=撿(단속할 검; ⼿-총16획; jiǎn)
검 检=檢(봉함 검; ⽊-총17획; jiǎn)
검 睑=瞼(눈꺼풀 검; ⽬-총18획; jiǎn)}
검 脸=臉(뺨 검; ⾁-총17획; liǎn,jiǎn)
검 钤=鈐(비녀장 검; ⾦-총12획; qián)
격 击=擊(부딪칠 격; ⼿-총17획; jī)
격 缂=緙(꿰맬 격; ⽷-총15획; kè)
격 缴=繳(주살의 줄 격; ⽷-총19획; jiǎo,jǐ,juè)
격 觋=覡(박수 격; ⾒-총14획; xí)
격 阒=闃(고요할 격; ⾨-총17획; jí)
견 坚=堅(굳을 견; ⼟-총11획; jiān)
견 牵=牽(끌 견; ⽜-총11획; qiān)
견 笕=筧(대 홈통 견; ⽵-총13획; jiǎn)
견 纤=縴(헌 솜 견; ⽷-총17획; quān)
견 绢=絹(명주 견; ⽷-총13획; juàn)
견 缱=繾(곡진할 견; ⽷-총20획; juān)
견 茧=繭(고치 견; ⽷-총19획; jiǎn)
견 见=見(볼 견; ⾒-총7획; jiàn,xiàn)
견 谴=譴(꾸짖을 견; ⾔-총21획; qiǎn)
견 鲣=鰹(가물치 견; ⿂-총22획; jiān)
견 鹃=鵑(두견이 견; ⿃-총18획; juān)
결 决=決(터질 결; ⽔-총7획; jué)
결 洁=潔(깨끗할 결; ⽔-총15획; jié)
결 结=結(맺을 결; ⽷-총12획; jié,jiē)
결 诀=訣(이별할 결; ⾔-총11획; jué)
결 阕=闋(문 닫을 결; ⾨-총17획; què)
겸 缣=縑(합사 비단 겸; ⽷-총16획; jiān)
겸 谦=謙(겸손할 겸; ⾔-총17획; qiān)
겸 钳=鉗(칼 겸; ⾦-총13획; qián)
겸 鹣=鶼(비익조 겸; ⿃-총21획; jiān)
겹 郏=郟(고을 이름 겹; ⾢-총10획; jiá)
경 倾=傾(기울 경; ⼈-총13획; qīng)
경 刭=剄(목 벨 경; ⼑-총9획; jǐng)
경 劲=勁(굳셀 경; ⼒-총9획; jìn,jìng)
경 垧=坰(들 경; ⼟-총8획; jiōng)
경 庆=慶(경사 경; ⼼-총15획; qìng)
경 弪=弳(호도 경; ⼸-총10획; jìng)
경 径=徑(지름길 경; ⼻-총10획; jìng)
경 惊=驚(놀랄 경; ⾺-총23획; jīng)
경 氢=氫(수소 경; ⽓-총11획; qīng)
경 泾=涇(통할 경; ⽔-총10획; jīng)
경 烃=烴(누린내 경; ⽕-총11획; tīng)
경 琼=瓊(옥 경; ⽟-총19획; qióng)
경 痉=痙(심줄 땅길 경; ⽧-총12획; jìng)
경 竞=競(겨룰 경; ⽴-총20획; jìng)
경 经=經(날 경; ⽷-총13획; jīng,jìng)
경 绠=綆(두레박줄 경; ⽷-총13획; gěng,bǐng)
경 胫=脛(정강이 경; ⾁-총11획; jìng)
경 茎=莖(줄기 경; ⾋-총11획; jīng)
경 茕=煢(외로울 경; ⽕-총13획; qióng)
경 轻=輕(가벼울 경; ⾞-총14획; qīng)
경 迳=逕(소로 경; ⾡-총11획; jìng)
경 镜=鏡(거울 경; ⾦-총19획; jìng)
경 顷=頃(밭 넓이 단위 경; ⾴-총11획; qǐng)
경 颈=頸(목 경; ⾴-총16획; jǐng,gěng)
